textID,text,selected_text,sentiment,id
c0bdf1370c,Sorta needs to somehow forget that its E3 in LA practically during my ethics exam and self-imposed revision time.,Sorta needs to somehow forget that its E3 in LA practically during my ethics exam and self-imposed revision time.,neutral,46
667408fa8b, Amazing.  Thereby proving we cannot believe anything we see,Amazing.,positive,47
3d55efb828,_sounds bicycle? Sucks i cant ride with you,Sucks,negative,48
162f9745bd, thought u said twitter was **** bellion?,****,negative,49
6a2aa44ccc, Goodmorning to you!Thank you so much for being so kind? The sun is out and I`m going to paint outside,!Thank you so much for being so kind?,positive,50
5c4100c5ac,"Ugh, I hate 90 degree weather",hate 90,negative,51
241ece149d,"planning! and trying to call the doctor, though that isn`t going so well. So mostly, planning",though that isn`t going so well.,negative,52
75c2b2c91f,The weather is so ugly n L.A... It`s really cold,ugly,negative,53
c6a48bcc9c,"@_laertesgirl Ohh of course. She did stop once though, end of Dream. John Woodvine & Zoe Thorne, only ones not signed my programme","@_laertesgirl Ohh of course. She did stop once though, end of Dream. John Woodvine & Zoe Thorne, only ones not signed my programme",neutral,54
bc065a6e9a,I`m nauseous  I need a yogurt or something..,nauseous,negative,55
1ec419afcc,"Such a good little Saturday. Didn`t include Bed Bath and Beyond, but Borders was on the list. Can`t wait for tomorrow. Good day planned",good,positive,56
554ff0041e, Happy mom`s day to you too,Happy,positive,57
f9db2c677c, And maybe you will get the statue and sainthood you are seeking.  Win-win for all. Can`t be a victim like your people.,. Can`t be a victim like your people.,negative,58
1d0ee4b5dc, <-- follow my girl meagan,<-- follow my girl meagan,neutral,59
a6e6bb3154," Wow, you might be countering the Benedryl with your enthusiasm.",enthusiasm.,positive,60
f1f6db7a1a,Is at the movies with the boyfriend!!,Is at the movies with the boyfriend!!,neutral,61
001d289399,Last night was fun w the lightening and thunder  Today will be in the 90s,Last night was fun w,positive,62
5d0124bd5e,"My gut says to replace $$$ appliances instead of repair, but I want to be smart with $. When I try repair, replace was the right choice.",smart,positive,63
56d8b56feb,"Everyone going to the hometown show is excited they get to go on Thames Street. I`M GONNA SEE THE ORIGINAL THAMES RIVER, ****. ohhhh.",****. ohhhh.,negative,64
234093bef1, which means you`re just going to have to come back to vancouver and have it our way! hahah,which means you`re just going to have to come back to vancouver and have it our way! hahah,neutral,65
da49dc0616,feel so out of the loop. no twitter on my desktop and haven`t listened to  weekly or read engadget in ages,feel so out of the loop.,negative,66
2ca162decc,I am loving this sunshine and hating the thought of my office without windows,I am loving this sunshine and hating the thought of my office without windows,neutral,67
a220b176f4,"Changed my hairstyle,but it isn`t good as it supposed to be N don`t wealth that much money..  hate that hairdresser~~","Changed my hairstyle,but it isn`t good as it supposed to be N don`t wealth that much money..  hate that hairdresser~~",negative,68
78b7b9b4b2,so i got to my exam centre n they said we can`t let u becuz of your sleeveless top! U cud BELIEVE that!? i had to go home,U cud BELIEVE that!?,negative,69
eb2db2fc0c,"  Now there`s a question for 140 characters   One of history`s great unanswered what if`s, I would say",y`s gre,positive,70
f97abc4cba,"So it`s rainy in Georgia, what do I do? Wear bright colors and hope the sun comes out!  (I`m doubtful that this is going to work)",doubtful,negative,71
78de864435,okie gonna tweet more because i am loosing you guys or girls,loosing,negative,72
634c1733d6,what?! i just missed home + away! nooooooooo,what?! i just missed home + away! nooooooooo,negative,73
fe530042f7, I shudder at the thought of what she was thinking she`d do with it if she`d managed to reclaim it...,I shudder at the thought of what she was thinking she`d do with it if she`d managed to reclaim it...,neutral,74
55f7247651,"Is taking a moment to reflect...I want my annonymity back,FB!!!!  Is it safe to say anything about someone else to another friend again?",safe,positive,75
03273124cf,_E  It`s an honour being your friend!!!! http://bit.ly/LhgZ2,honour,positive,76
8f74c4f71c, that sucks!!,sucks!,negative,77
2c06b165c6,Send me your Blog`s RSS feeds I have a site that will republish and send traffic to your site...,Send me your Blog`s RSS feeds I have a site that will republish and send traffic to your site...,neutral,78
38b762e325,In Arch. Drawing. Checking out MVCC`s CAD degree. Looks good to me,Looks good,positive,79
4dcf30f88a,_harris  There were way more than two! Ten hours of real-ale takes it out of you,There were way more than two! Ten hours of real-ale takes it out of you,neutral,80
ff26920ecc, its almost your birthday!!,its almost your birthday!!,neutral,81
e5ff92f07e,Another two hours of work. Ugh. It goes by so slow. And im sore,slow.,negative,82
e0311fba64," wahahahaha!! i wanna naaaaa!!! well...hapit na i guess. hahahaha ) yes, now we all know!!! hahahaha lol ) NARN! haha joke",joke,positive,83
aaee08f683,I need followers!!!,I need followers!!!,neutral,84
ba9f75c8be,last day of school and last concert of my life.. wow.. can you say emotional? im really gonna miss mhs..  had graduation practice today..,can you say emotional? im really gonna miss mh,negative,85
4b465e55e9,"go to my father`s house or not?!that is the question...domestic food and people around me vs my bed,my tv and my world...dont know","go to my father`s house or not?!that is the question...domestic food and people around me vs my bed,my tv and my world...dont know",neutral,86
a7966b1708,Working technology! I love you WAZ!,I love you WAZ!,positive,87
bf3a55b8e5,"horrible dreams last night  also had one in which i was employed...sigh, if only.","horrible dreams last night  also had one in which i was employed...sigh, if only.",neutral,88
6e93c85699," Hope Ye Got Dem; Ur Site Is Amazing, I Got On Everyday; I Tryed My Own, & It Failed  Lol,","Hope Ye Got Dem; Ur Site Is Amazing, I Got On Everyday; I Tryed My Own, & It Failed  Lol,",neutral,89
ecd73c6d97, So the man behind the awesome Macarena vid. Great work. Love it.,Great work. Love it.,positive,90
434076dc8c,having to use IE =/ firefox is playing up and i don`t know why  will try and fix it tomorrow.,having to use IE =/ firefox is playing up and i don`t know why  will try and fix it tomorrow.,neutral,91
d1dd169199, Why no sn... o. yeah... Sad day.....,. Sad day.....,negative,92
be141f574a,I was kinda looking forward to seeing Seann William Scott in the office today,I was kinda looking forward to seeing Seann William Scott in the office today,neutral,93
0714fbb82f,Work time....,Work time....,neutral,94
52cb8d59af,"Going out to Miranda shopping centre to spend time with the family, before going away for 2 weeks to Malaysia. Gonna miss them!",miss,negative,95
4591bce14e, think you should catch up on your sleep befor you go back to uni haha  goodnight<3,haha  goodnight,positive,96
67d8e11605," hmm sorry, I went mia there","sorry,",negative,97
476f9b7220,"I feel like drinking wine, but I don`t have any.","I feel like drinking wine, but I don`t have any.",neutral,98
db1013d3f0,_Melbourne Sounds good! Say hi if you run into me there! I`m always always having coffee there,good!,positive,99
4a726e9eba, he thinks he`s a gangsterrr  his **** don`t even fit in G Unit. & I know :| ))))),he thinks he`s a gangsterrr  his **** don`t even fit in G Unit,negative,100
191026b892,"  great pic,have to upload my pix tomo,I`ve no laptop tonight.",great,positive,101
307f1f1c9a,_couper  I`ve heard that. 2 of my sons have seen it and one wants to see it again. I can`t wait to get there,I`ve heard that. 2 of my sons have seen it and one wants to see it again. I can`t wait to get there,neutral,102
5a1e5a4cc8,"throat is reallyyyyy sore , i can barely talk",sore,negative,103
f0265656e5," Ok, im not really that far yet  On the 2nd part of 4. Wish she did them earlier though, like mid day so I could be involved",. Wish,positive,104
ef615460e3,Quickest way to get a seat to yourself on a London bus currently: pretend to sneeze VERY loudly about 3/4 times,Quickest way to get a seat to yourself on a London bus currently: pretend to sneeze VERY loudly about 3/4 times,neutral,105
631d6219e9,All new implementation of test discovery for unittest. This time in a loader. Good start I think.   http://twurl.nl/nz8f4y,Good start,positive,106
71844002df,just had steamed fish w/ oyster sauce,just had steamed fish w/ oyster sauce,neutral,107
1b1ed7d65a, Hello there,Hello there,neutral,108
752814dbb0,Watchin Hollyoaks...poor Justin!,poor,negative,109
cc9bbb431f," omgggggggggg, cant belive it! what had happened to it friend? do you know where did you missed it? thats not nice!!",not nice!,negative,110
15ad2e6473, shoooot me. my aunt will be home soon and im crying my eyes out,m crying,negative,111
c5e01002ce," Keep it that long, people can ffwd if they like (now, if you did AAC w/ chapter markers...","Keep it that long, people can ffwd if they like (now, if you did AAC w/ chapter markers...",neutral,112
bd9e0cef04," Maybe u should get a coffee machine at your new desk, seems appropriate",seems appropriate,positive,113
38789ffc60,This day will pass slowly.  All of these days will.  RAWR!!!!  ...,This day will pass slowly.  All of these days will.  RAWR!!!!  ...,negative,114
530c0d6626, weekend is going great  Yours?,weekend is going great,positive,115
808c552f3e,"Ghhh! Went an hour earlier to bed thinking ill get an area hr of sleep, woke up an hr earlier. Today is gonna be a looooong one again.",Today is gonna be a looooong one again.,negative,116
c50340f492,Walking from Teignmouth to Dawlish   http://twitpic.com/4jf4k,Walking from Teignmouth to Dawlish,neutral,117
773c973fb5, Thats Not a Golf Buggy LOL it`s a Australia Zoo Buggy The staff use it to get around and give certain patrons a life,Thats Not a Golf Buggy LOL it`s a Australia Zoo Buggy The staff use it to get around and give certain patrons a life,neutral,118
c5b7e4320f, Sorry I can not reach either URL,Sorry I can not reach either URL,negative,119
64cba76b03,wishing i could go to CaBo tonight,wishing,positive,120
7919f4e984,ahh I hate being sick  Watching atonement! and sleeping,ahh I hate being sick,negative,121
3f954203e6,Fishing on WoW while listening to ska on Pandora. Such a lazy Sunday morning,lazy,negative,122
7d3f899337,back from lunch and it`s pouring rain! ugh  ohh well at least it gets me into a Death Cab For Cutie mood!,Cutie,positive,123
3287f9c15b,_tastic Awww that is sweet,Awww that is sweet,positive,124
ba5fe2e423,The battle at Minas Tirith is still very impressive. Return of the Jedi is the best Lord of the Rings movie IMO.,impressive.,positive,125
c3af043193,Morning all. I appear to have a bit of a sore head. Perhaps the bag of pork scratchings for dinner wasn`t such a good idea,sore,negative,126
162d33e031, glad you could make it,glad you could make it,positive,127
3d48914c3a,im nervous :/ i want  to gimme a bear hug,im nervous :/ i want  to gimme a bear hug,neutral,128
b81723c6ee, i wish i was home in bed naked,i wish i was home in bed naked,negative,129
23643d7740,okay the new jonas episode was awesome,okay the new jonas episode was awesome,positive,130
e5160216a5,ohh my tooth is hurts ohh  im sad it very hurts,im sad it very hurts,negative,131
a343a74b07,Man i hate church. Has to be done though. I like the way it makes other people feel good,Man i hate church. Has to be done though. I like the way it makes other people feel good,neutral,132
851e986d0e,"hmm, do not feel like writing monthly reports tonight!  probably should get started though...","hmm, do not feel like writing monthly reports tonight!  probably should get started though...",neutral,133
8b9ad8f948,ofcourse they start fightin aight the party buts its cool theyu held it down now im chillin with my home girl  HAPPY MOTHERS DAY,HAPPY,positive,134
4a05e78802,first puppy gone 2 new home.,first puppy gone 2 new home.,neutral,135
cb25bb10df," i saw the new cities last tuesday, amazing show! and won tickets for tomorrow`s show, but might not be able to make it",won,positive,136
6af8ecb1b9,  Been there and never at a good time   Your recourse is small claims or you can get a atty involved. But that is more $,d never at a good time,negative,137
1c04467b15,"I hate having to put my toddler in a disposable, but her rash needs ointment. I hate her having a rash even worse.",hate,negative,138
20093be522," *huggles* I don`t see all the replies right away, and my boss is hovering today. And I`m feeling pissy about life","*huggles* I don`t see all the replies right away, and my boss is hovering today. And I`m feeling pissy about life",negative,139
7ba6578993,I wanna Karaoke!  Instead...I get to go to work  Lameness,Lameness,negative,140
448813cc8f,being at work while sick blows! kill me. i feel like ****,i feel like ****,negative,141
78bae0c769,why do I always wake up ONE minute before my alarm is scheduled to go off??,why do I always wake up ONE minute before my alarm is scheduled to go off??,neutral,142
cfeb4c1417," Ordered mine, thank you!!",thank you!!,positive,143
93fa13fa5b,"my sisters **** pc, just blued screened me",****,negative,144
21deaed5d9," woop rehearsing songs  Yep, sounds even enough to me",", sounds even enough to me",positive,145
77b050d123, dude!!! wtf!! I text you this morning so that you can take care of me! so uncool..... it`s confirmed... you hate me,you hate me,negative,146
f35326c25c,"Worried about Bry, he has bronchitis and a sinus infection   Poor baby.",Worried,negative,147
cba5c49b0f," he has been really brave but this is the best thing to do - now he can rest and get better. Get well soon, Alexi",really brave,positive,148
14d90ccad1,So treat your Mom`s like Queen`s cuz they are,So treat your Mom`s like Queen`s,positive,149
4d6dabfd0c, yea it is.  thanks for the link.,thanks,positive,150
7666d4aa5c,I always get really excited when `Steal My Kisses` by Ben Harper comes on the ipod...great song...love the beat-boxing in the beginning,excited,positive,151
fbbeb8413a, would love to see that!,love,positive,152
fafc1c85a5,"Hi Charlie, thank you for following me! Nice to know there`s another Ollmann in the new world...",Nice,positive,153
e19eab5b9e,My new camera... http://tinyurl.com/l8pde3 ... RIP my hot pink Polaroid i733,RIP,negative,154
f569d16a78," LOL! I liked the log ride reference, but all I think about when I think of that ride is how wet you get",liked,positive,155
eb27647ac5,"always tired, always cold and always have a headache.  cant wait for vacashun..and the frickin g1 update..i want onscreen keyboard dammit!",.i want onscreen keyboard dammit!,negative,156
fc9b461812," Good plan, Peg --plus I like the sound of 'Money Monday'","Good plan,",positive,157
e050245fbd, Both of you,Both of you,neutral,158
27a14b89c3,"curses, firewall/proxy server restrictions!  it will have to wait until I get home",restrictions!,negative,159
9f1c41b48c, (((HUGS))) back to you - you also have that look!,(((HUGS))),positive,160
aa34667394, And who says I wasn`t just muttering to myself?,And who says I wasn`t just muttering to myself?,neutral,161
6e22c9794a,  lost luggage? Sorry to hear.  you should check out our selection of travel luggage here: http://budurl.com/9mua,? Sorry,positive,162
2de015fca0,has not finished the bio mols mind map  stupid sheet hid sections from me on the back!,stupid,negative,163
d5b5c0c42a,"Excited!!! Trousers on their way from Topshop, should be here in a couple of days",Excited!!!,positive,164
b7694fbc1b,"_kryptik the usual... applications, checking statuses, reading stuff that`s ... wel... not arbit  etc","_kryptik the usual... applications, checking statuses, reading stuff that`s ... wel... not arbit  etc",neutral,165
f5c1511faf,what fun!  I got retweeted by a bot,fun!,positive,166
5fd7c7653d,Watching one of my fav movies Sparkle  + go get food later!,fav movies,positive,167
6064742680,P-Nutt got a new collar and leash today  http://apps.facebook.com/dogbook/profile/view/1034415,P-Nutt got a new collar and leash today,neutral,168
770035351c,"probably going to miss Silverstone`s race again this season in iRacing , so sad   this track is pure laser scanned awesomeness","probably going to miss Silverstone`s race again this season in iRacing , so sad   this track is pure laser scanned awesomeness",neutral,169
24bef2a55f, awesome RONIN121,awesome,positive,170
1a5e619b83,My voice hurts. No We We Rock You the musical singing tonight..,hurts.,negative,171
8a999026ad, Charlie Brown  What are you doing today? What time is it??,Charlie Brown  What are you doing today? What time is it??,neutral,172
2ff62cd38d,Coffee in hand and sun shining in my window.  Hope everyone`s having a great Monday morning so far! #monday - MR,Hope everyone`s having a great Monday,positive,173
686732c2aa, ye it is not fare on me  x,ye it is not fare on me,negative,174
59cd3e2b14,just now i know how twitter exactly work,just now i know how twitter exactly work,neutral,175
032bb2eb50,"reaons not worth it; drunk for no reason, depressed about revision, nothing happened. Reason`s worth it:Matt, ...after that? i dunno",depressed,negative,176
3effbeffea, http://tinyurl.com/64ozr7 :: from Ate Kaila Ocampo  of the.rainbowholic.me&&eerie-silence.net,from Ate Kaila Ocampo  of the.rainbowholic.me&&eerie-silence.net,neutral,177
c9d53a9127,Finally got all 7 overdue books out of the little room and into my now overstuffed back pack!,Finally got all 7 overdue books out of the little room and into my now overstuffed back pack!,neutral,178
ed483d0c51,has a headache from the the heat.,has a headache from the the heat.,negative,179
9902a712a7,Can`t believe this ****! I`ve spend 30 minutes for for a snickers ice cream... Seems like no one does then anymore!,Can`t believe this ****!,negative,180
f497495e23,Lovely walk this morning with the missus; drizzle didn`t matter,Lovely walk this morning with the missus; drizzle didn`t matter,positive,181
96186fed70,Why did sound input for my computer stop working?  It`s not the mic or jack (USB webcam mic doesn`t work either) Checked input controls.,Why did sound input for my computer stop working?  It`s not the mic or jack (USB webcam mic doesn`t work either) Checked input controls.,negative,182
dcdb92eeec,_musings Good morning!  It is raining here,Good morning!,positive,183
1bf0493f22, They don`t let the queer boys donate blood.,They don`t let the queer boys donate blood.,negative,184
a5a1c996c0, fine! Going to do my big walk today 20 or so miles,fine!,positive,185
d6ed424192,Had fun early night Vegas because Pool tomorrow,Had fun,positive,186
f967942f57, Hey thanks for following  Love the name Elijah thats what im going to name my Son,Love,positive,187
c470d6e777,Nothing to do tonight.,Nothing to do tonight.,neutral,188
59e6f3eeff,I hate today.,hate,negative,189
7b8fcb4aac,IT DIDN`T WORK,IT DIDN`T WORK,negative,190
55644d8682," Yeah, I wanted to have some  I was bottling, so it`s sanitized and all good. It tastes like those choc. oranges.",l good,positive,191
9465fee9cd,  ive got a cold too... It sucks  and u were awesome in ipswitch xD,ive got a cold too... It sucks  and u were awesome in ipswitch xD,neutral,192
02d8181035,well im gonna go shower now. gotta get rdy 4 movies in a couple hours!   byeee   ~~  Esther <3    p.s.s i miss u katherine,well im gonna go shower now. gotta get rdy 4 movies in a couple hours!   byeee   ~~  Esther <3    p.s.s i miss u kath,neutral,193
342fd88176,"_song Glad you had a wondrous Beltaine! Mine was quiet, yet in sync with the season.  Miss you all...","_song Glad you had a wondrous Beltaine! Mine was quiet, yet in sync with the season.  Miss you all...",neutral,194
6eef9402ec,and because I wasn`t having a bad enough time last night my body decided it wanted to be sick,my body decided it wanted to be sick,negative,195
01531ef92b, Shoot! I voted and somehow looked over yours ... boo hiss. Forgive me   Have a great weekend Arik.,Shoot! I voted and somehow looked over yours ... boo hiss. Forgive me   Have a great weekend Arik,neutral,196
fcc9210884,Is sat in her PJs drinking tea and watching the Politics Show. Lovely,Lovely,positive,197
0f480595d4," I`m not going on the cruise. Wish I was, but I`m just going on vacation. Thanks though",. Thanks,positive,198
9f94cb28a2, and it never arrived. have to wait until Monday now,never,negative,199
0688b31fc2, still here unfortunately!!!!,unfortunately!,negative,200
41ff3299a3," I wish I could work like you, dude...",wish,positive,201
683d167ae5,wanted to sleep but a friend from Denmark just poked me on IM,wanted to sleep but a friend from Denmark just poked me on IM,neutral,202
024123fd2c, yea i just got outta one too....i want him back tho  but i feel the same way...i`m cool on dudes for a lil while,m cool,positive,203
3aa7b273df, There is good cholesterol. There are no good tumors.,There is good cholesterol. There are no good tumors.,neutral,204
8f3ce0745c,I AM OFFICIALLY CELEBRATING MY 400TH TWEET. Wow! I am so proud  Its great.,Wow! I am so proud  Its great.,positive,205
5825c09bf0," http://twitpic.com/4jam0 - Ohhh, how lovely! I`m glad that you had a great time there.","Ohhh, how lovely! I`m glad that you had a great time there.",positive,206
ca59d97f21,  thanx mang!  shes due in june 12th and yezzzir the first baby! -drummer boi,thanx,positive,207
65da7a4cc4,"Starting a new diet today. I don`t want to get fat. Besides, its almost bathing suit season! *lol*",I don`t want to get fat.,negative,208
fc7dfc7f34,"mmmmmm, late night Brusters ice cream! om nom nom nom",om nom nom nom,positive,209
1d5b2f0bdd,  Oh what`s up?,Oh what`s up?,neutral,210
fd2db7743b,has work to go to.,has work to go to.,neutral,211
829e2b094d,It`s pissing me off and not letting me follow ericka,It`s pissing me off and not letting me follow ericka,negative,212
c829b69a74,needs shows before wednesay!!! oh well... come one come all... Irvine Improv live @ Gotham Showcase 8pm  lots of good comics...then me.,good comics.,positive,213
d0d314cdd7,Excellent the Suzaku 7 are back together  woop last episode  hope its a happy one i`m a sucker for these really lol shh,Excellent,positive,214
ff1cb8b8bd, did you have fun last night? we didn`t see you.,did you have fun last night? we didn`t see you.,neutral,215
1aa361fe1a,*pokes and runs away* ... I WANT SUGAR !,*pokes and runs away*,negative,216
3b9fe0f1e2, Iï¿½m sorry for that,Iï¿½m sorry for that,negative,217
c2a4c6c3f2,_Gable It`s good isn`****! Our holiday chalet is out of sight but look v similar to those ones. Going home again today,It`s good isn`****! Ou,positive,218
dc99f59bb2,Went to Di Bella coffee roasters today and asked for a job...   The person I needed to speak to is on holiday...  #fb,Went to Di Bella coffee roasters today and asked for a job...   The person I needed to speak to is on holiday...  #f,neutral,219
f429b761e2,That room will be an oven too,That room will be an oven too,neutral,220
777b6daede,"  I think your friend is thinking of Jonathan, not Danny","I think your friend is thinking of Jonathan, not Danny",neutral,221
aa284f26b1,Happy Mother`s Day to all the mommies out there...we love you.,Happy,positive,222
e7cd93eb01, awww!  We can do that and then go to Chick Fila,awww!  We can do that and then go to Chick Fila,neutral,223
a3cfe5a616,"_PingPong Oh, so no male strippers then?  LMAO","Oh, so no male strippers then?  LMAO",negative,224
860656e5e4, he always brightens up 'the week' ?,always brightens,positive,225
8a5155db71, i`m about to have to hang up   my fone is getting to hot,to ha,negative,226
d77056070d,  I love you too! I`m kinds reading. But you can call if you`d like,I love,positive,227
6dbbd88efb," bananabrain2 got hit by a car and got screwed! : O, 32 oepn wounds, a broken finger, broken toe (both toe and nail) f**ed up",screwed!,negative,228
155e6b9b1a,I`m sooo hyper! And I don`t even know why! Hahahahaha!,I`m sooo hyper! And I don`t even know why! Hahahahaha!,neutral,229
6e374aa8c7, heyy sweety  how did it go at advanced training? waht r u doing?? *hugz*xxxxxxxxxx,heyy sweety  how did it go at advanced training? waht r u doing?? *hugz*xxxxxxxxxx,neutral,230
14c67c535b, Depends on what they want for it....I`ve become poor again,.I`ve become poor again,negative,231
5c5a4e3933, well atm anyway i`m only managing cos i have no musical talent ps horrible thing to say bout rove,horrible,negative,232
35d95a6bfa,http://twitpic.com/4wqfv - dark berry mocha frapp.. heaven.. TRY IT EVERYONE!!  here.. let me pass it to you,dark berry mocha frapp.. heaven.. TRY IT EVERYONE!!  here.. let me pass it to you,positive,233
aa189955b1,  BUT THEY ARE EXPENSIVE.,E EXPENSIVE,negative,234
6675c7dfb6,  Now I need to find the Keynote one! At least I know where to go! #ScreenCastsOnline,Now I need to find the Keynote one! At least I know where to go! #ScreenCastsOnline,neutral,235
8305cf1582, Ah good. Glad to be useful.,Glad,positive,236
8bdd631829," and he`s not even fat!!!! Huh, ? He`s just friggin huge!  I have a freak.","and he`s not even fat!!!! Huh, ? He`s just friggin huge!  I have a freak.",neutral,237
dbc8ab6a8c, g`mornin,g`mornin,positive,238
c70fe26447,_emo_zac and a good morning from france to my zaccie,good,positive,239
349981d74f, Go to Campos on Missendon Road in Newtown. Ask for Ben. And discover how great coffee can be,great,positive,240
43921317de, Musashi`s? Has a great rep. Or did you go to Kitaro,Has a great rep.,positive,241
829fd30504,my nail broke  I haaaaaaaaate,my nail broke  I haaaaaaaaate,negative,242
51d28c8a75, for sure! You and your wife seem like cool cats.,cool,positive,243
f4f910f15b,more work to do,more work to do,neutral,244
46f52b817f,Hurray for old friends with beer and lady friends!!!!,Hurray,positive,245
a71a8b1d77,watching chicago.  honeyyyy im with you I miss me some hey arnold! and wild thornberrys,miss,negative,246
8de713d4dc," Tom, I saw again a guy who looks like you in my campus today. He`s SOOO adorable... :') But you`re still cuter than him. Haha..",He`s SOOO adorable.,positive,247
73ff36bd49,  I`m sorry. This is all so sad.,I`m sorry,negative,248
917d7585d4, wow that`s quite a long time for studying  Good luck with the job hunting though.Yes also a Mac user (iMac) this side hehe,Good,positive,249
ab75893191,Happy Star Wars Day // Will Week,Happy,positive,250
0a0a3310ca,And I just saw something real sad on my lunch... A dog with two broken back legs.,sad,negative,251
d38f977f51," haha what can i say, you`re a great teacher!! you learned from the best... Hannah Montana",you`re a great teacher!,positive,252
